,sale_day_x,departure_date,origin_station_name,destination_station_name,prediction_until_departure,real_sum_until_departure
186,-20,2020-10-21,cpe,ag,261,265.0
187,-15,2020-10-21,cpe,ag,211,255.0
188,-10,2020-10-21,cpe,ag,162,228.0
189,-7,2020-10-21,cpe,ag,114,176.0
190,-6,2020-10-21,cpe,ag,93,152.0
191,-5,2020-10-21,cpe,ag,93,152.0
192,-3,2020-10-21,cpe,ag,40,90.0
193,-2,2020-10-21,cpe,ag,40,90.0
194,-90,2020-10-21,cpe,ag,546,637.0
195,-60,2020-10-21,cpe,ag,528,629.0
196,-30,2020-10-21,cpe,ag,455,576.0
197,-20,2020-10-21,cpe,ag,375,519.0
198,-15,2020-10-21,cpe,ag,331,485.0
199,-10,2020-10-21,cpe,ag,264,430.0
200,-7,2020-10-21,cpe,ag,208,367.0
201,-6,2020-10-21,cpe,ag,180,323.0
202,-5,2020-10-21,cpe,ag,180,323.0
203,-3,2020-10-21,cpe,ag,121,254.0
204,-2,2020-10-21,cpe,ag,92,198.0
205,-1,2020-10-21,cpe,ag,52,120.0
206,-90,2020-10-22,cpe,ag,413,420.0
207,-60,2020-10-22,cpe,ag,395,406.0
208,-30,2020-10-22,cpe,ag,325,278.0
209,-20,2020-10-22,cpe,ag,243,184.0
210,-15,2020-10-22,cpe,ag,196,147.0
211,-10,2020-10-22,cpe,ag,130,66.0
212,-7,2020-10-22,cpe,ag,90,46.0
213,-6,2020-10-22,cpe,ag,90,46.0
214,-5,2020-10-22,cpe,ag,72,34.0
215,-3,2020-10-22,cpe,ag,25,17.0
216,-90,2020-10-22,cpe,ag,410,379.0
217,-60,2020-10-22,cpe,ag,392,353.0
218,-30,2020-10-22,cpe,ag,326,177.0
219,-20,2020-10-22,cpe,ag,233,119.0
220,-15,2020-10-22,cpe,ag,175,112.0
221,-10,2020-10-22,cpe,ag,120,81.0
222,-7,2020-10-22,cpe,ag,64,28.0
223,-6,2020-10-22,cpe,ag,64,28.0
224,-5,2020-10-22,cpe,ag,46,16.0
225,-90,2020-10-22,cpe,ag,377,343.0
226,-60,2020-10-22,cpe,ag,358,342.0
227,-30,2020-10-22,cpe,ag,289,294.0
228,-20,2020-10-22,cpe,ag,220,222.0
229,-15,2020-10-22,cpe,ag,170,191.0
230,-10,2020-10-22,cpe,ag,110,116.0
231,-7,2020-10-22,cpe,ag,75,77.0
232,-6,2020-10-22,cpe,ag,75,77.0
233,-5,2020-10-22,cpe,ag,51,56.0
234,-90,2020-10-22,cpe,ag,386,673.0
235,-60,2020-10-22,cpe,ag,368,653.0
236,-30,2020-10-22,cpe,ag,301,495.0
237,-20,2020-10-22,cpe,ag,218,356.0
238,-15,2020-10-22,cpe,ag,171,302.0
239,-10,2020-10-22,cpe,ag,115,206.0
240,-7,2020-10-22,cpe,ag,57,111.0
241,-6,2020-10-22,cpe,ag,30,43.0
242,-90,2020-10-23,cpe,ag,446,493.0
243,-60,2020-10-23,cpe,ag,428,476.0
244,-30,2020-10-23,cpe,ag,338,341.0
245,-20,2020-10-23,cpe,ag,245,235.0
246,-15,2020-10-23,cpe,ag,186,173.0
247,-10,2020-10-23,cpe,ag,118,115.0
248,-7,2020-10-23,cpe,ag,70,81.0
249,-6,2020-10-23,cpe,ag,53,59.0
250,-5,2020-10-23,cpe,ag,35,47.0
251,-3,2020-10-23,cpe,ag,17,35.0
252,-90,2020-10-23,cpe,ag,381,660.0
253,-60,2020-10-23,cpe,ag,362,636.0
254,-30,2020-10-23,cpe,ag,270,341.0
255,-20,2020-10-23,cpe,ag,193,253.0
256,-15,2020-10-23,cpe,ag,140,164.0
257,-10,2020-10-23,cpe,ag,109,113.0
258,-7,2020-10-23,cpe,ag,47,58.0
259,-6,2020-10-23,cpe,ag,47,58.0
260,-5,2020-10-23,cpe,ag,23,36.0
261,-90,2020-10-24,cpe,ag,471,444.0
262,-60,2020-10-24,cpe,ag,453,423.0
263,-30,2020-10-24,cpe,ag,354,258.0
264,-20,2020-10-24,cpe,ag,260,205.0
265,-15,2020-10-24,cpe,ag,202,171.0
266,-10,2020-10-24,cpe,ag,133,143.0
267,-7,2020-10-24,cpe,ag,85,113.0
268,-6,2020-10-24,cpe,ag,69,102.0
269,-5,2020-10-24,cpe,ag,52,85.0
270,-3,2020-10-24,cpe,ag,17,38.0
271,-2,2020-10-24,cpe,ag,17,38.0
272,-90,2020-10-24,cpe,ag,441,353.0
273,-60,2020-10-24,cpe,ag,422,333.0
274,-30,2020-10-24,cpe,ag,328,201.0
275,-20,2020-10-24,cpe,ag,235,154.0
276,-15,2020-10-24,cpe,ag,188,145.0
277,-10,2020-10-24,cpe,ag,120,101.0
278,-7,2020-10-24,cpe,ag,103,98.0
279,-6,2020-10-24,cpe,ag,87,91.0
280,-5,2020-10-24,cpe,ag,70,81.0
281,-3,2020-10-24,cpe,ag,34,57.0
282,-2,2020-10-24,cpe,ag,17,35.0
283,-90,2020-10-24,cpe,ag,429,739.0
284,-60,2020-10-24,cpe,ag,410,725.0
285,-30,2020-10-24,cpe,ag,316,627.0
286,-20,2020-10-24,cpe,ag,232,435.0
287,-15,2020-10-24,cpe,ag,185,276.0
288,-10,2020-10-24,cpe,ag,158,198.0
289,-7,2020-10-24,cpe,ag,104,146.0
290,-6,2020-10-24,cpe,ag,104,146.0
291,-5,2020-10-24,cpe,ag,81,127.0
292,-3,2020-10-24,cpe,ag,81,127.0
293,-2,2020-10-24,cpe,ag,55,96.0
294,-1,2020-10-24,cpe,ag,28,47.0
295,-90,2020-10-25,cpe,ag,423,315.0
296,-60,2020-10-25,cpe,ag,405,295.0
297,-30,2020-10-25,cpe,ag,309,175.0
298,-20,2020-10-25,cpe,ag,224,118.0
299,-15,2020-10-25,cpe,ag,177,92.0
300,-10,2020-10-25,cpe,ag,137,71.0
301,-7,2020-10-25,cpe,ag,106,52.0
302,-6,2020-10-25,cpe,ag,90,47.0
303,-5,2020-10-25,cpe,ag,72,40.0
304,-3,2020-10-25,cpe,ag,25,12.0
305,-90,2020-10-25,cpe,ag,449,252.0
306,-60,2020-10-25,cpe,ag,430,228.0
307,-30,2020-10-25,cpe,ag,324,122.0
308,-20,2020-10-25,cpe,ag,231,85.0
309,-15,2020-10-25,cpe,ag,184,61.0
310,-10,2020-10-25,cpe,ag,116,39.0
311,-7,2020-10-25,cpe,ag,69,28.0
312,-6,2020-10-25,cpe,ag,53,21.0
313,-5,2020-10-25,cpe,ag,34,19.0
314,-3,2020-10-25,cpe,ag,34,19.0
315,-2,2020-10-25,cpe,ag,17,12.0
316,-90,2020-10-25,cpe,ag,411,758.0
317,-60,2020-10-25,cpe,ag,393,734.0
318,-30,2020-10-25,cpe,ag,296,501.0
319,-20,2020-10-25,cpe,ag,228,378.0
320,-15,2020-10-25,cpe,ag,193,317.0
321,-10,2020-10-25,cpe,ag,152,243.0
322,-7,2020-10-25,cpe,ag,133,227.0
323,-6,2020-10-25,cpe,ag,110,207.0
324,-5,2020-10-25,cpe,ag,110,207.0
325,-3,2020-10-25,cpe,ag,37,77.0
326,-90,2020-10-26,cpe,ag,408,425.0
327,-60,2020-10-26,cpe,ag,390,408.0
328,-30,2020-10-26,cpe,ag,292,185.0
329,-20,2020-10-26,cpe,ag,199,152.0
330,-15,2020-10-26,cpe,ag,140,118.0
331,-10,2020-10-26,cpe,ag,85,69.0
332,-7,2020-10-26,cpe,ag,56,47.0
333,-6,2020-10-26,cpe,ag,39,30.0
334,-5,2020-10-26,cpe,ag,21,13.0
335,-90,2020-10-26,cpe,ag,372,483.0
336,-60,2020-10-26,cpe,ag,353,453.0
337,-30,2020-10-26,cpe,ag,252,229.0
338,-20,2020-10-26,cpe,ag,168,184.0
339,-15,2020-10-26,cpe,ag,109,115.0
340,-10,2020-10-26,cpe,ag,84,43.0
341,-7,2020-10-26,cpe,ag,39,25.0
342,-6,2020-10-26,cpe,ag,39,25.0
343,-5,2020-10-26,cpe,ag,21,17.0
344,-90,2020-10-26,cpe,ag,527,692.0
345,-60,2020-10-26,cpe,ag,508,689.0
346,-30,2020-10-26,cpe,ag,404,636.0
347,-20,2020-10-26,cpe,ag,321,564.0
348,-15,2020-10-26,cpe,ag,276,498.0
349,-10,2020-10-26,cpe,ag,207,389.0
350,-7,2020-10-26,cpe,ag,153,305.0
351,-6,2020-10-26,cpe,ag,153,305.0
352,-5,2020-10-26,cpe,ag,121,238.0
353,-3,2020-10-26,cpe,ag,85,179.0
354,-2,2020-10-26,cpe,ag,52,106.0
355,-1,2020-10-26,cpe,ag,52,106.0
356,-90,2020-10-27,cpe,ag,370,384.0
357,-60,2020-10-27,cpe,ag,351,381.0
358,-30,2020-10-27,cpe,ag,252,322.0
359,-20,2020-10-27,cpe,ag,197,243.0
360,-15,2020-10-27,cpe,ag,142,187.0
361,-10,2020-10-27,cpe,ag,88,126.0
362,-7,2020-10-27,cpe,ag,58,73.0
363,-6,2020-10-27,cpe,ag,30,38.0
364,-90,2020-10-27,cpe,ag,443,402.0
365,-60,2020-10-27,cpe,ag,424,387.0
366,-30,2020-10-27,cpe,ag,320,279.0
367,-20,2020-10-27,cpe,ag,228,179.0
368,-15,2020-10-27,cpe,ag,170,131.0
369,-10,2020-10-27,cpe,ag,114,95.0
370,-7,2020-10-27,cpe,ag,84,69.0
371,-6,2020-10-27,cpe,ag,56,48.0
372,-5,2020-10-27,cpe,ag,25,15.0
373,-3,2020-10-27,cpe,ag,25,15.0
374,-90,2020-10-27,cpe,ag,450,217.0
375,-60,2020-10-27,cpe,ag,431,216.0
376,-30,2020-10-27,cpe,ag,332,195.0
377,-20,2020-10-27,cpe,ag,261,178.0
378,-15,2020-10-27,cpe,ag,211,172.0
379,-10,2020-10-27,cpe,ag,150,151.0
380,-7,2020-10-27,cpe,ag,103,110.0
381,-6,2020-10-27,cpe,ag,82,88.0
382,-5,2020-10-27,cpe,ag,58,73.0
383,-3,2020-10-27,cpe,ag,27,33.0
384,-90,2020-10-27,cpe,ag,575,417.0
385,-60,2020-10-27,cpe,ag,556,414.0
386,-30,2020-10-27,cpe,ag,461,353.0
387,-20,2020-10-27,cpe,ag,396,315.0
388,-15,2020-10-27,cpe,ag,341,271.0
389,-10,2020-10-27,cpe,ag,273,227.0
390,-7,2020-10-27,cpe,ag,235,211.0
391,-6,2020-10-27,cpe,ag,207,190.0
392,-5,2020-10-27,cpe,ag,176,169.0
393,-3,2020-10-27,cpe,ag,110,127.0
394,-2,2020-10-27,cpe,ag,82,98.0
395,-1,2020-10-27,cpe,ag,52,66.0
396,-90,2020-10-28,cpe,ag,458,472.0
397,-60,2020-10-28,cpe,ag,440,467.0
398,-30,2020-10-28,cpe,ag,340,429.0
399,-20,2020-10-28,cpe,ag,275,360.0
400,-15,2020-10-28,cpe,ag,223,298.0
401,-10,2020-10-28,cpe,ag,169,243.0
402,-7,2020-10-28,cpe,ag,114,176.0
403,-6,2020-10-28,cpe,ag,87,143.0
404,-5,2020-10-28,cpe,ag,87,143.0
405,-3,2020-10-28,cpe,ag,28,57.0
406,-90,2020-10-28,cpe,ag,509,411.0
407,-60,2020-10-28,cpe,ag,491,396.0
408,-30,2020-10-28,cpe,ag,387,271.0
409,-20,2020-10-28,cpe,ag,296,222.0
410,-15,2020-10-28,cpe,ag,237,185.0
411,-10,2020-10-28,cpe,ag,171,107.0
412,-7,2020-10-28,cpe,ag,133,64.0
413,-6,2020-10-28,cpe,ag,105,41.0
414,-5,2020-10-28,cpe,ag,105,41.0
415,-3,2020-10-28,cpe,ag,54,28.0
416,-2,2020-10-28,cpe,ag,28,21.0
417,-90,2020-10-28,cpe,ag,475,323.0
418,-60,2020-10-28,cpe,ag,456,320.0
419,-30,2020-10-28,cpe,ag,356,287.0
420,-20,2020-10-28,cpe,ag,295,241.0
421,-15,2020-10-28,cpe,ag,249,210.0
422,-10,2020-10-28,cpe,ag,190,175.0
423,-7,2020-10-28,cpe,ag,157,154.0
424,-6,2020-10-28,cpe,ag,136,137.0
425,-5,2020-10-28,cpe,ag,113,108.0
426,-3,2020-10-28,cpe,ag,60,56.0
427,-2,2020-10-28,cpe,ag,60,56.0
428,-1,2020-10-28,cpe,ag,60,56.0
429,-90,2020-10-28,cpe,ag,522,530.0
430,-60,2020-10-28,cpe,ag,503,526.0
431,-30,2020-10-28,cpe,ag,404,461.0
432,-20,2020-10-28,cpe,ag,337,394.0
433,-15,2020-10-28,cpe,ag,282,348.0
434,-10,2020-10-28,cpe,ag,241,320.0
435,-7,2020-10-28,cpe,ag,185,254.0
436,-6,2020-10-28,cpe,ag,157,223.0
437,-5,2020-10-28,cpe,ag,127,199.0
438,-3,2020-10-28,cpe,ag,68,132.0
439,-2,2020-10-28,cpe,ag,40,77.0
440,-90,2020-10-29,cpe,ag,478,454.0
441,-60,2020-10-29,cpe,ag,460,442.0
442,-30,2020-10-29,cpe,ag,361,329.0
443,-20,2020-10-29,cpe,ag,271,263.0
444,-15,2020-10-29,cpe,ag,216,209.0
445,-10,2020-10-29,cpe,ag,165,135.0
446,-7,2020-10-29,cpe,ag,125,96.0
447,-6,2020-10-29,cpe,ag,97,70.0
448,-5,2020-10-29,cpe,ag,67,51.0
449,-3,2020-10-29,cpe,ag,39,24.0
450,-90,2020-10-29,cpe,ag,490,454.0
451,-60,2020-10-29,cpe,ag,472,437.0
452,-30,2020-10-29,cpe,ag,370,309.0
453,-20,2020-10-29,cpe,ag,285,248.0
454,-15,2020-10-29,cpe,ag,227,195.0
455,-10,2020-10-29,cpe,ag,172,155.0
456,-7,2020-10-29,cpe,ag,116,100.0
457,-6,2020-10-29,cpe,ag,88,71.0
458,-5,2020-10-29,cpe,ag,58,48.0
459,-90,2020-10-29,cpe,ag,477,328.0
460,-60,2020-10-29,cpe,ag,459,327.0
461,-30,2020-10-29,cpe,ag,357,294.0
462,-20,2020-10-29,cpe,ag,282,242.0
463,-15,2020-10-29,cpe,ag,232,211.0
464,-10,2020-10-29,cpe,ag,185,163.0
465,-7,2020-10-29,cpe,ag,135,119.0
466,-6,2020-10-29,cpe,ag,114,105.0
467,-5,2020-10-29,cpe,ag,91,92.0
468,-3,2020-10-29,cpe,ag,38,45.0
469,-90,2020-10-29,cpe,ag,502,794.0
470,-60,2020-10-29,cpe,ag,483,777.0
471,-30,2020-10-29,cpe,ag,396,657.0
472,-20,2020-10-29,cpe,ag,301,539.0
473,-15,2020-10-29,cpe,ag,243,438.0
474,-10,2020-10-29,cpe,ag,174,307.0
475,-7,2020-10-29,cpe,ag,116,189.0
476,-6,2020-10-29,cpe,ag,89,145.0
477,-5,2020-10-29,cpe,ag,58,82.0
478,-90,2020-10-30,cpe,ag,431,418.0
479,-60,2020-10-30,cpe,ag,412,406.0
480,-30,2020-10-30,cpe,ag,316,246.0
481,-20,2020-10-30,cpe,ag,231,183.0
482,-15,2020-10-30,cpe,ag,196,168.0
483,-10,2020-10-30,cpe,ag,129,109.0
484,-7,2020-10-30,cpe,ag,80,82.0
485,-6,2020-10-30,cpe,ag,64,66.0
486,-5,2020-10-30,cpe,ag,46,54.0
487,-90,2020-10-30,cpe,ag,499,404.0
488,-60,2020-10-30,cpe,ag,480,374.0
489,-30,2020-10-30,cpe,ag,375,235.0
490,-20,2020-10-30,cpe,ag,281,161.0
491,-15,2020-10-30,cpe,ag,222,122.0
492,-10,2020-10-30,cpe,ag,155,88.0
493,-7,2020-10-30,cpe,ag,106,57.0
494,-6,2020-10-30,cpe,ag,90,43.0
495,-5,2020-10-30,cpe,ag,72,38.0
496,-3,2020-10-30,cpe,ag,25,15.0
497,-90,2020-10-30,cpe,ag,488,777.0
498,-60,2020-10-30,cpe,ag,469,760.0
499,-30,2020-10-30,cpe,ag,370,553.0
500,-20,2020-10-30,cpe,ag,296,466.0
501,-15,2020-10-30,cpe,ag,249,378.0
502,-10,2020-10-30,cpe,ag,179,288.0
503,-7,2020-10-30,cpe,ag,121,208.0
504,-6,2020-10-30,cpe,ag,93,173.0
505,-5,2020-10-30,cpe,ag,63,129.0
506,-90,2020-10-31,cpe,ag,391,364.0
507,-60,2020-10-31,cpe,ag,373,350.0
508,-30,2020-10-31,cpe,ag,268,232.0
509,-20,2020-10-31,cpe,ag,175,150.0
510,-15,2020-10-31,cpe,ag,139,131.0
511,-10,2020-10-31,cpe,ag,87,59.0
512,-7,2020-10-31,cpe,ag,56,31.0
513,-6,2020-10-31,cpe,ag,39,27.0
514,-5,2020-10-31,cpe,ag,21,17.0
515,-90,2020-10-31,cpe,ag,388,228.0
516,-60,2020-10-31,cpe,ag,369,203.0
517,-30,2020-10-31,cpe,ag,270,110.0
518,-20,2020-10-31,cpe,ag,177,84.0
519,-15,2020-10-31,cpe,ag,118,71.0
520,-10,2020-10-31,cpe,ag,50,24.0
521,-7,2020-10-31,cpe,ag,34,11.0
522,-6,2020-10-31,cpe,ag,18,3.0
523,-90,2020-10-31,cpe,ag,519,533.0
524,-60,2020-10-31,cpe,ag,500,524.0
525,-30,2020-10-31,cpe,ag,394,414.0
526,-20,2020-10-31,cpe,ag,318,339.0
527,-15,2020-10-31,cpe,ag,259,279.0
528,-10,2020-10-31,cpe,ag,189,187.0
529,-7,2020-10-31,cpe,ag,132,133.0
530,-6,2020-10-31,cpe,ag,104,109.0
531,-5,2020-10-31,cpe,ag,74,84.0
532,-90,2020-10-16,cgm,bb,13,12.0
533,-60,2020-10-16,cgm,bb,13,12.0
534,-30,2020-10-16,cgm,bb,13,12.0
535,-20,2020-10-16,cgm,bb,12,12.0
536,-15,2020-10-16,cgm,bb,12,12.0
537,-10,2020-10-16,cgm,bb,11,12.0
538,-7,2020-10-16,cgm,bb,11,11.0
539,-6,2020-10-16,cgm,bb,10,11.0
540,-5,2020-10-16,cgm,bb,10,11.0
541,-3,2020-10-16,cgm,bb,8,10.0
542,-2,2020-10-16,cgm,bb,7,9.0
543,-1,2020-10-16,cgm,bb,5,7.0
544,-90,2020-10-16,cgm,bb,14,20.0
545,-60,2020-10-16,cgm,bb,14,20.0
546,-30,2020-10-16,cgm,bb,13,20.0
547,-20,2020-10-16,cgm,bb,12,18.0
548,-15,2020-10-16,cgm,bb,12,18.0
549,-10,2020-10-16,cgm,bb,11,18.0
550,-7,2020-10-16,cgm,bb,11,17.0
551,-6,2020-10-16,cgm,bb,10,17.0
552,-5,2020-10-16,cgm,bb,10,17.0
553,-3,2020-10-16,cgm,bb,8,14.0
554,-2,2020-10-16,cgm,bb,7,13.0
555,-1,2020-10-16,cgm,bb,5,7.0
